Match_ID,Match_Date,Match,Winner,Loser,WinLoss,Championship_Match,Promotion,Match_Type,Stipulation,Event,Event_Name,Event_Type
1633,2012-08-30,CM Punk vs John Cena and The Big Show,CM Punk,John Cena and The Big Show,Loss,Exhibition,WWE,Triple Threat,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1632,2012-08-27,John Cena vs The Miz,John Cena,The Miz,Win,Exhibition,WWE,Singles,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
1631,2012-08-27,John Cena vs The Big Show,John Cena,The Big Show,Win,Exhibition,WWE,Singles,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Non-Televised
1630,2012-08-26,CM Punk vs John Cena and The Big Show,CM Punk,John Cena and The Big Show,Loss,Exhibition,WWE,Triple Threat,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1629,2012-08-25,CM Punk vs John Cena and The Big Show,CM Punk,John Cena and The Big Show,Loss,Exhibition,WWE,Triple Threat,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1628,2012-08-24,CM Punk vs John Cena and The Big Show,CM Punk,John Cena and The Big Show,Loss,Exhibition,WWE,Triple Threat,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1627,2012-08-21,John Cena vs The Big Show,John Cena,The Big Show,Win,Exhibition,WWE,Singles,No Stipulation,WWE Friday Night SmackDown ,WWE SmackDown,Non-Televised
1626,2012-08-20,John Cena vs The Big Show,John Cena,The Big Show,Win,Exhibition,WWE,Singles,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Non-Televised
1625,2012-08-19,CM Punk vs John Cena and The Big Show,CM Punk,John Cena and The Big Show,Loss,Exhibition,WWE,Triple Threat,No Stipulation,WWE SummerSlam 2012,WWE SummerSlam ,PPV/PLE
1624,2012-08-14,John Cena vs The Big Show,John Cena,The Big Show,Win,Exhibition,WWE,Singles,No Stipulation,WWE Friday Night SmackDown ,WWE SmackDown,Non-Televised
1623,2012-08-13,CM Punk & John Cena vs Daniel Bryan & The Big Show,CM Punk & John Cena,Daniel Bryan & The Big Show,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
1622,2012-08-12,John Cena vs Tensai,John Cena,Tensai,Win,Exhibition,WWE,Singles,No Stipulation,WWE House Show,WWE House Show,Non-Televised
1621,2012-08-11,John Cena vs Tensai,John Cena,Tensai,Win,Exhibition,WWE,Singles,No Stipulation,WWE House Show,WWE House Show,Non-Televised
1620,2012-08-10,John Cena vs Tensai,John Cena,Tensai,Win,Exhibition,WWE,Singles,No Stipulation,WWE House Show,WWE House Show,Non-Televised
1619,2012-08-07,John Cena vs Dolph Ziggler & The Big Show,John Cena,Dolph Ziggler & The Big Show,Win,Exhibition,WWE,1 vs 2 Handicap Match,No Stipulation,WWE Friday Night SmackDown ,WWE SmackDown,Non-Televised
1618,2012-08-06,John Cena vs Daniel Bryan,John Cena,Daniel Bryan,Win,Exhibition,WWE,Singles,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
1617,2012-08-05,John Cena vs The Big Show,John Cena,The Big Show,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
